,sample_1,sample_3,sample_2,sample_10,sample_9,sample_12,sample_11,sample_6,sample_4,sample_5,sample_7,sample_8
REG1A,34,32,28,30,12,18,27,37,8,40,0,0
PAPOLG,1491,1787,1717,1726,1778,1949,1508,1950,1517,1704,1781,1825
PECR,270.33,318.73,411.77,394.13,313.29,383.75,253.61,393.04,318.16,304.28,327.19,311.23
IGFBP2,2283,3964,4908,14201,18348,6994,4970,23356,10325,11354,20851.82,18805
ELMOD3,841,995,1042,995,1039,1007,884,955,675,720,1071,889
IGFBP5,7050,11319,15464,63508,46136,35553,17433,53737,51633,34854,206943,70903
USP34,9071,11189,14109,13363,12904,16748,9805,13713,11090,11710,16100,13509
KCNJ13,1,0,1,3,48,1,5,2,4,1,3,4
CCT4,9923,11985,15249,15584,12523,14024,10387,12942,10194,11261,13604,12678
NEU2,0,0,0,0,0,0,0,0,0,0,0,0
OTX1,2,1,5,2,5,4,0,7,3,4,4,6
TXNDC9,1369.98,1595,1703.99,1687.95,1775.99,1823,1328.95,1984.96,1539.97,1644,1766.97,1770
ST3GAL5,2861,3482,4160,4439,3457,4847,2824,4204,2977,3428,3118,2390
CHST10,2106,2560,3189,2435,2611,3215,1891,2538,2033,2286,2376,2355
PDCL3,887.05,1219.36,1514.09,1411.04,1332.58,1511.06,1057.96,1220.4,1127.71,1297.12,1057.34,990.48
MOB4,5533.27,6496.84,6076.72,5260,5289.38,6234.32,5300.16,6119.07,4920.12,5730.68,6209.7,4977.31
HSPE1,2752.75,3659.78,3942.91,4010.52,4375.18,4181.06,2812.1,4471.9,3092.95,3639.64,3540.15,3860.49
KDM3A,6741,7838,9750,7961,6226,11346,6455,6696,7100,6910,5065,5362
PLCD4,142,154,289,186,277,274,119,386,224,222,161,212
CHMP3,5666.1,6732.51,6964.42,7922.21,6217.15,6643.62,6163.64,7017.22,5292.42,5475.12,6626,4787.93
IL1R2,4,2,3,3,7,2,3,25,2,2,2,1
PRKAG3,0,0,1,0,2,0,0,0,0,0,0,1
SMYD1,5,12,2,61,49,51,52,14,4,3,5,52
IL1R1,13,62,81,262,954,95,127,2154,304,324,338,836
WNT6,1,0,3,11,13,10,11,8,7,5,17,21
IL1RL2,0,0,0,1,0,0,0,0,0,1,1,2
IL1RL1,0,0,0,0,1,0,0,0,0,1,1,2
SLC9A2,34,39,72,71,23,107,33,24,58,48,52,41
FHL2,188,329,621,986,435,601,217,525,593,517,1418,1042
MLPH,4,9,25,42,27,11,3,44,35,31,95,46
CNPPD1,2938,3260,3778,3530,2336,3069,2749,2606,2121,2284,2470,1792
ABCB6,413.17,483.59,769.75,917.27,603.66,847.49,516.02,423.14,566.08,535.82,620.8,373.41
STK16,962,1301,1476,1399,1378,1192,949,1510,914,1040,1042,959
SLC5A7,205,413,254,304,1049,516,274,293,394,519,277,272
PPP1R7,3269,4031,4570,4415,3264,4064,3165,3661,2962,3348,3591,3034
STK25,6378,8032,9579,9760,7869,9457,6418,8223,6418,7099,7547,6410
ID2,804,2439,2494,3066,12531,2864,1864,12105,2996,3497,3207,6507
TAF1B,362,425,563,589,685,700,425,777,514,498,719,697
HPCAL1,2090,2751,3551,2688,2996,4206,2399,2769,1905,2643,1493,1552
ODC1,8253,9627,13110,8335,10770,9988,7477,10662,7435,8654,13112,17234
GORASP2,3445,4550,5176,5377,7006,5511,4114,6689,4401,4924,5286,5426
STRN,2390,2769.96,2852,2606,3221,3731,2497,3666,2594,2787,3587,3713
CEBPZ,2461,2997,3636,3298,3079,3516,2687,3126,2443,2789,3249,3217
DCAF17,1490,1865,1902,1803,1792,2321,1512,2185,1595,1720,2396,1773
QPCT,0,0,2,1,1,4,0,0,2,3,6,4
SLC25A12,2545,3057,3698,3063,2290,3033,2647,2193,1886,2245,3399,2570
DLX2,1,9,19,79,188,31,36,103,91,47,430,492
LCT,0,0,2,0,2,1,0,0,0,0,4,3
DARS1,3083,3398,3913,3273,3465,3313,3078,3202,2702,3101,3651,3188
SRSF7,3686,4709,5596,4700,6090,6161,3705,5323,4529,4940,4202,5032
SDC1,922,1343,1631,2478,2939,1389,1081,2883,1993,1813,1631,1709
PLCL1,4437,5345,4424,4680,5302,4569,4620,5317,3514,3596,4734,3747
SLC1A4,13514,14250,16415,13962,7161,13125,13852,6343,6663,7508,19126,11915
KYNU,1,9,14,12,10,2,5,27,6,7,9,5
ORC2,728,817,905,992,1215,1030,796,1089,784,955,1091,1140
COX7A2L,6023,7495,8073,7919,7061,8476,6334,7822,5959,6660,7876,6634
PNO1,846,1086,1356,1364,1301,1172,939,1438,1085,1165,1424,1270
PLEK,0,2,4,2,3,4,2,3,3,3,10,5
TRAK2,6133,7272,6466,8274,4967,6052,6301,5731,5674,5780,11209,7734
PCYOX1,7321,9105.96,9584.95,11395.99,10486.99,9769,7672,14024,8433.99,9435,12263.99,10932
KISS1R,47,62,100,126,103,92,55,103,65,84,18,37
EPAS1,79,272,430,1601,785,342,217,2286,1409,1061,3479,4684
ARID3A,3961,4441,3486,3825,3939.21,2665,3792,6305,2533,3006,1990,2139
CD207,1,4,1,1,3,1,1,5,0,4,1,1
GRIN3B,44,48,55,98,150,42,50,160,54,47,34,46
VAX2,130,213.46,169,144.76,193.79,182.31,132.33,202.5,112.76,179.96,85.95,70.56
ATP6V1B1,0,2.54,0,4.24,18.21,14.69,8.67,11.5,2.24,4.04,4.05,7.44
NFE2L2,1425.26,1673.5,1901.32,2179.48,3421.8,1597.12,1790.29,3828.83,1605.85,1522.67,4364.32,4424.45
PLEKHA3,908.99,1074.79,1107.6,1083.24,1411.92,1459.67,970.38,1741.93,993.93,1168.97,1291.98,1226.35
SPR,159,156,173,253,137,173,160,175,131,148,192,146
EPHA4,706,1559,2854,2429,4824,5382,1326,3700,2671,3105,4202,4594
FARSB,3963,4624,5171,4694,3889,4916,3796,4226,3396,3979,4056,3559
PRRX1,46,268,249,2740,4622,794,1303,361,4081,1155,1516,4150
DHCR24,22557,28410,43267,41607,25277,45325,21706,26266,32880,34962,12040,11916
DNAJC16,2481,2988,2734,3211,2109,2351,2572,2696,2049,2091,3022,2003
TNR,6080,8812,9348,9185,4339,10693,6474,3479,5156,8578,3954,2198
MORN1,227,265,312,319,581,392,266,524,252,277,334,396
GPX7,86,78,115,207,220,125,141,134,149,103,126,164
CACYBP,3514.12,4258.98,5540.4,4572.49,4806.36,6632.16,3508.73,3958.77,4137.39,4622.94,4588.36,4717.4
PAPPA2,21414,23687,17361,29513,8998,8204,22622,36147,14434,13444,11586,5880
ANGPTL1,4,23,32,214,238,147,250,239,156,121,291,654
FAM20B,5834,7047,8074,7507,6848,8237,5883,8438,6012,6371,7576,6580
TCEANC2,940,1076,1090,1226,1249,954,1010,1368,758,997,1054,1122
TMEM59,8669,10766,11935,11249,11168,11547,8490,13955,8097,9398,11017,9600
LRRC42,1078,1277,1482,1774,1740,1162,1192,1653,1141,1121,1400,1487
WRAP73,356,421,577,544,778,663,400,705,391,447,668,683
MRPL37,2326,2889,3465,3630,3275,3312,2538,3448,2521,2750,3517,3659
ICMT,4841,5834,5881,7092,6963,5718,5393,7859,5007,5523,8018,7825
RPL22,11692.03,14637.92,16803.7,16752.83,19326.96,16811.07,13199.69,18052.08,12293.39,13255.17,14492.17,14228.33
CHD5,2532.6,3517.89,5006.77,5941.18,5039.7,7188.09,3046.57,5026.18,3908.78,4545.6,6435.23,3359.74
QSOX1,2580,3286,3811,5307,3532,3334,2624,4318,2950,3287,4695,2874
STXBP3,804,960,783,858,1727,945,775,1691,844,872,1425,1408
PHF13,1224,1565,1985,1957,1842,2133,1381,1849,1550,1662,2156,2374
ERRFI1,2023,2527,3082,3393,2654,3421,2095,3023,2587,2677,4047,4113
PARK7,6428,8202,10289,9575,8368,8848,6131,9116,6530,7531,7372,6591
ELAPOR1,2453,3336,4052,3463,2315.85,3510,2597,2751,2236,2581,2182,1350
MECR,745,931,1086,1184,953,869,755,1097,679,720,928,772
WDR77,1729.3,2139.14,3269.24,2973.34,2515.02,3015.3,1661.49,2787.74,2245.98,2342.3,1785.4,1756.22
ATP5PB,7246.75,8861.2,10404.71,9520.95,7998.83,9130.86,6974.98,9297.3,6983.6,7696.95,7408.72,6735.91
HDAC1,677,960,1065,1450,2419,1124,848,1944,1178,1247.99,3231,3642
CAPZA1,7650,9301.98,9044.98,9223,10067.99,9136.99,7479,11617.98,7923,9153,10629.99,10642.99
S100PBP,2259,2699,3213,2699,2761,3241,2251,2607,2051,2288,2511,2403
SCAMP3,1918,2545,2837,2896,2587,2721,1884,2716,2081,2313,2391,1805
TRIM62,686,1031,1287,1374,1278,1264,931,1342,1028,1156,1388,1191
DLGAP3,2539,3233,3900,3656,2056,4664,2459,2213,2449,3046,2061,1384
RHOU,4305,5822,5035,8746,12332,4743,5351,21372,6267,5821,6341,5474
DOCK7,5143,6537.08,7263.03,7182,6823.11,7517,5391.04,7395,6183,6518,6993,5448
SRM,1781,2209,2912,3241,2832,3220,1981,2847,2539,2878,2216,1986
FBXO2,1063,1287,1434,1944,882,1176,1074,1435,949,1098,1349,855
FBXO6,107.12,114.11,151.3,121.38,81.17,133.45,88.22,84.16,67,62.12,141.24,80.24
SWT1,699,822,854,937,620,785,792,731,550,617,686,620
MAD2L2,1860,2187,2411,2344,1862,1731,1717,1965,1551,1583,2282,2572
DNAJC6,14405,17349,18335,16436,11818,21936,13939,13649,11143,14741,15066,9731
IVNS1ABP,4316,6152,8068,7253,9371,8210,5406,10668,6306,6437,8133,9416
KIAA2013,1438.77,1749.71,2205.55,2214.28,2210.15,2067.44,1457.94,2483.55,1645.98,1702.64,2278.69,2428.68
MIIP,641,718,1090,981,792,1117,666,761,683,737,617,513
PDC,0,0,0,0,1,0,0,0,0,0,5,3
SLC35D1,723,895,948,1084,1361,1039,816,1163,809,869,1324,1233
PLA2G4A,5,5,15,59,282,47,51,45,116,62,100,118
GADD45A,994,1054,1378,1306,1102,1068,829,1647,921,988,1620,953
PRAMEF1,0,0,0,0,0,0,0,0,0,0,1,0
WLS,287,1286,2100,4777,57706,2324,1744,95637,5527,7124,11660,33055
RGS2,859,1115,1852,1241,1124,2508,889,838,1114,1302,872,1008
RPE65,6,12,7,19,208,22,19,496,38,30,83,179
BCAS2,2464.98,2923.99,3059.89,2446.97,2586,3100.96,2286,2672.99,2098.99,2470,3096.99,2945
CTH,518,494,568,461,413,444,485,354,272,285,881,691
AGMAT,9,14,33,16,11,29,21,11,14,12,57,38
OLFML3,39,186,167,2059,2272,591,887,1087,1469,1342,374,687
TNNI3K,4.07,54.31,26.67,46.45,26.15,140.55,46.23,45.59,10.57,66.96,4.14,33.88
PLEKHM2,3458,4465,5437,5659,4938,5517,3702,5547,3837,4312,5429,4906
CRYZ,1,2,1,9,63,31,3,11,65,68,401,407
PHTF1,1211,1641,1917,2042,3220,2310,1236,3128,1669,1895,2031,2472
CD58,291,344,299,340,313,240,245,503,257,243,524,426
CD2,0,1,1,0,3,1,0,1,0,0,2,1
TTF2,282,397,455,729,1123,473,443,1149,728,658,1114,1967
NR5A2,882,646,274,222,128,159,527,412,183,156,100,83
TMEM9,3248,4005,5019,4687,3651,4281,3290,4137,2758,3155,3711,3321
ADPRS,702,917,1191,1091,1198,1199,735,1274,833,937,1179,1008
OSCP1,376,418,425,433,487,425,349,439,285,349,325,279
MRPS15,1441,1729,2149,2231,1782,2067,1492,1816,1553,1815,1850,1562
EXOC8,1584,1962,2015,2141,1857,2250,1767,2623,1796,2026,2058,1566
GNPAT,2925,3521,4338,4336,3608,3844,3037,3858,3252,3426,3486,3083
TSNAX,1702,2121.87,2046.86,1797.02,3027.56,2426.07,1706.13,3279.24,2015.44,2348.85,2362.37,2515.28
RRAGC,3095,3610,4732.02,4944,3235.04,5124,3344.05,4137,3186,3137,5671,4441
NID1,183,516,574,3701,4868,1583,1988,2437,3342,2757,7916,7804
HPCAL4,5491,6599,9884,6849,4293,12680,4871,3672,4834,6302,5482,4005
BMP8B,131.92,172.41,472.86,234.19,187.58,480.65,168.41,217.95,246.25,230.28,101.95,115.6
MYCL,679,710,1215,716,944,826,727,679,665,737,1090,1084
RLF,2905,3586,4441,4053,3603,5632,3237,3944,3923,4145,3290,3232
KMO,0,2,4,6,6,2,0,4,4,3,16,10
ZNF684,97,159,108,116,129,111,97,134,118,109,155,198
KCNQ4,286,424,445,1282,365,478,530,370,499,592,441,187
RIMS3,46992,53238,58517,52877,27669,52291,46362,33919,29725,32930,40267,24802
ETV3,982.6,1220.59,1609.58,1897.71,1993.67,1833.85,1314.41,2264.64,1499.15,1561.98,1933.98,2145.93
ST6GALNAC5,723,1414,1133,1559,884,1020,947,698,1366,1264,1364,1319
CD48,0,0,0,0,0,1,0,1,0,1,1,0
PADI2,296,352,355,421,217,285,332,228,236,256,617,267
MFAP2,215,517,595,1573.94,4288,719,706,4367,1323,1481,2099,4143
RPF1,1038,1244,1281,1233,1689,1265,1020,1609,1107,1158,1523,1529
ACTL8,5,7,10,3,3,4,1,0,8,7,6,3
CTBS,147,159.93,172.59,348.87,939.69,171.82,172,1668.2,297.59,312.91,598.85,717.3
KLHL12,4316.98,4975.95,5486.95,5370.99,3654.95,4737.98,3991.99,4513.96,3287.98,3596,4210.97,3650
IGSF21,1296,1196,2734,979,585,4094,748,434,1259,1618,619,527
ZNHIT6,1757,2135,2083,1976,2502,1992,1908,2628,1732,2011,2432,2185
PLA2G2D,1,0,0,0,0,0,0,0,0,0,1,1
RBBP5,2230,2743,2801,2831,2614,2701,2265,2898,1992,2173,3018,2738
GBP3,3,16,16,86.11,39,19,20.19,76.76,69.11,68,63.34,40.48
GPR89A,768.1,987.09,1209.63,1061.12,979.32,1181.6,869.7,1134.65,849.37,1015.76,1211.1,1102.58
RAB29,463,567,804,931,999,792,498,1359,582,526,1268,1080
CD160,0,0,0,2,0,0,1,0,0,0,0,3
ECE1,3662,4418,4902,6136,5681,4755,4306,7390,4337,4576,9010,6251
HMGCL,536,639,750,790,953,558,621,1428,460,465,660,687
GALE,752,858,1300,1103,1026,1062,649,1020,785,895,1100,984
ID3,31,223,196,673,6963,269,406,5964,1152,1225,1389,2836
PRPF3,1133.99,1450.99,1492.98,1563.96,2099.96,1872,1279.97,1895.97,1267,1371.98,2220.97,2479.98
APH1A,2686,3387,4577,4449,5393,4023,2931,4669,3224,3316,4274,4665
CDC20,9.8,42.81,50,212.55,1373.67,131.36,199.41,504.32,436.09,348.08,1413.56,4565.78
ARTN,12,25,36,30,64,48,24,56,19,33,30,35
IPO13,2130,2499,3194,2963,2351,3267,1975,2684,1934,2334,2891,2665
ATP6V0B,5983,7277,9316,8199,4977,7952,5261,5672,4716,5140,5790,4176
ERI3,2329,2911,3676,3237,3087,3332,2283,3189,2239,2414,2915,2602
PTCH2,86,121,149,140,157,278,107,116,116,121,108,87
PIK3R3,12566,17224,20357,16353,16715,19831,12246,20246,16027,18137,4433,5309
TSPAN1,36,51,46,47,33,21,43,78,18,18,19,18
BLZF1,494,611,686,825,1128,730,591,1525,645,712,912,1018
SLC19A2,775,937,1055,929,978,1170,818,893,846,884,990,1008
FAAH,815,1128,1555,1307,813,1566,849,729,773,938,969,597
TMED5,1992,2422,1793,2817,3555,2518,2564,4097,2442,2304,5060,4446
DR1,4285,5182,5045,4755,5313,6589,4524,5796,4407,5084,5891,5496
CNN3,5669,7257,7002,10303,19219,7709,6955,19479,9918,9219,11179,17084
F3,2,44,41,40,283,72,33,587,66,67,121,168
ABCD3,2495,2838,3416,3363,3873,3727,2536,4899,2971,3303,4377,4391
VAMP4,1593,1846,1530,1373,1536,1804,1587,1675,1266,1505,1939,1468
FASLG,0,0,1,0,1,1,0,0,0,0,0,3
TNFSF4,70,86,67,108,111,60,75,146,86,84,88,106
PRDX6,2388,3222,3672,5039,8253,3806,3050,9327,4004,3801,5977,8879
DARS2,630,767,922,996,1132,800,636,1153,773,774,1024,1421
HSD11B1,2,0,0,1,16,0,0,4,0,1,2,3
UTP25,1081,1322,1637,1666,1422,1815,1284,1435,1171,1273,2449,1690
SYF2,1335,1627,1801,1615,1983,1732,1543,1903,1233,1327,2071,2117
RSRP1,1218.98,1441.98,1712.24,1647.16,2684.08,2170.49,1406.76,3039.07,1415.35,1514.89,2702.71,2460.09
SLC35A3,495.84,592.91,669.11,630.61,974.52,1017.17,612.88,1116.04,680.41,759.53,1263.64,990.27
STMN1,74916.89,93370,105421,78678,59968,89105,69820,66832,65331,68409,46314,48708
MTFR1L,3399,4228.66,5128,5003.77,4502.64,4947,3342,4946.51,3288,3881,4068,3373.7
NEK2,8,7,19,66,523,30,64,323,149,154.99,959,2805
RPS6KA1,725,848,1029,943,909,864,720,1132,634,795,766,754
DHDDS,2244,2604,2907,3021,2372,3100,2174,2789,2152,2408,3021,2456
NENF,465,602,854,779,624,709,547,681,491,490,866,690
NSL1,1673,1881,1944,1888,1983.16,1926,1865,2064,1522,1730,2453,2610
PROX1,184,296,169,195,504,349,237,310,260,255,248,588
RPA2,1198,1419,1659,1485,1724,1347,1192,1457,1099,1225,1573,2104
PPP1R8,3054,3883,4199,3575,3974,3926,3289,3794,2741,3141.99,3783,3608
STX12,7083,9137,9938,8778,8033,12311,7082,8334,7515,8370,8051,6233
MTARC2,30,56,62,160,209,86.3,69,210,87,84,267,209
OSBPL9,5565,6847.28,6707,7650,7954,6488,5801,9333.98,5426.37,6033,8522.99,6908
MESD,2409.95,3041,2676,3243,3828.83,2444,2706,4166.97,2370.95,2537,3341.95,3810
RCN2,4697,5836,6176,5099,9981,7208,4834,9546,5840,6720.14,7363,8367
CHRNB4,174,173,132,154,168,162,101,221,110,117,101,75
MUC5B,0,0,2,0,3,2,0,1,1,0,7,4
STAG1,3761,4217,4696,4309,4620,4793,3630,4472,3644,4084,4052,3305
A4GNT,0,0,0,0,0,1,1,0,0,0,0,0
TREH,10,10,12,16,7,11,8,16,8,6,8,10
MMP8,0,1,2,6,12,1,1,3,11,7,7,5
SLC8A2,4394,5629,5489,5831,3382,6269,4445,3625,3572,4380,2899,1735
KPTN,569,711,814,851,636,808,505,611,558,610,589,484
RPS25,8188.76,10429.67,12447.41,13680.22,15553.11,12683.55,10463.08,13765.39,10098.47,10409.27,11152.02,12217.85
KIF14,28,49,70,136,655,87,134,426,246,195,971,2418
DDX59,549,711,805,711,755,738,602,837,544,590,845,754
CRYGD,0,0,0,0,0,0,0,0,0,0,0,0
MREG,455.67,571.27,455.23,555.87,400.71,503.25,426.39,491.96,376.84,393.72,487.81,427.77
TNP1,0,0,0,0,1,0,0,1,0,0,0,2
FASTKD2,2336,2879,3327,3157,2878,3351,2386,3457,2576,3059,3073,2639
CREB1,3605,4281,3651,3811,4972,4184,4009,5727,3678,4095,5147,5140
KLF7,13741,17128,17065,18270,9441,19498,15522,14843,12055,11738,11120,7913
C1orf54,51,78,88,157,174,98,104,194,126,103,199,209
CA14,89,139,169,142,690,205,153,298,221,277,314,658
ATP10B,9,5,12,36,71,46,40,6,59,26,15,9
USP35,1304,1679,1830,2402,1125,1720,1262,1468,1237,1397,1404,936
ELOVL4,5946,6792,7018,6319,4406,7956,5765,5249,4196,5402,5187,3692
FILIP1,151,202,208,352,453,315,203,452,226,230,682,501
HMGN3,306,435,541,466,2047,807,382,1824,802,809,739,1517
UBE3D,244,301,408,401,347,389,299,339,249,287,268,216
SPACA1,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD13C,2680,3190,2984,2782,3113,3401,2688,3797,2469,2772,3030,2656
ZC2HC1B,0,0,0,4,0,2,0,0,6,0,1,1
FBXO30,2230,2622,2579,2579,2519,3118,2454,3004,2491,2858,2989,2732
RAB32,102,149,241,593,346,187,280,481,300,265,1453,1177
ALDH8A1,45,42,49,49,61,70,35,51,30,45,32,38
ARG1,3,7,4,3,9,6,4,18,3,3,2,5
CCN2,556,2698,3334,23576,33430,4567,3844,50566,15499,17540,43640,36608
PMFBP1,508,574,440,805,455,477,612,525,467,430,185,119
FBXL5,2944,3586,3735,3682,3425,3844,2902,3814,3035,3337,4128,3217
MED28,9185,11238,12476,10832,12098,12840,9732,12018,8694,9654,9599,9619
SLC16A7,326,419,348,432,376,656,380,363,530,540,755,576
ZNF430,737.06,901.71,780.99,723,836.71,868.26,740.54,847.05,738,861.25,761.64,926.99
VAMP8,16,65,71,43,516,23,23,1688,63,78,173,369
DCLRE1B,634,823,932,1049,1146,944,826,976,800,848,1064,1400
FOXO3,4710.62,5817.69,5984.57,5617.01,5379.06,5848.44,5136.7,5582.24,4011.07,3783.58,7551.17,5932.18
ARMC2,256,339,336,274,433,350,224,449,265,266,303,263
RPN2,8111,10136,12090,13349,15003,10976,8926,16762,9762,10508,13974,14698
PKD2,627,898,1088,2304,3103,1383,1342,3420,1744,1819,3424,3137
ABCG2,2,6,3,36,38,12,15,5,20,9,11,24
RARRES1,8,6,13,5,5,2,9,11,4,5,11,7
EEF2KMT,256.65,327.23,534.76,435.08,521.85,547.52,298.62,413.11,354.8,374.79,364.65,291.96
PPL,374,521,814,628,1373,1420,467,2445,465,590,882,857
UBN1,2927,3494,4148,4526,4507,4544,3048,5003,3400,3651,4602,5252
PCDH17,10535,13374,15388,10176,7008,15357,9619,8165,9349,11166,8594,6975
HS1BP3,1256,1371,1541,1788,1545,1224,1215,2129,1016,1066,1889,1868
LDAH,1204,1523,1671,1591,1680,1654,1216,1741,1305,1353,1365,1341
FGF23,4,8,4,19,12,6,1,13,9,10,5,9
ELL2,464.94,621.99,605.96,984,1218.96,820.96,699.97,1810.94,779,740.87,2040.99,2192.82
DNAH7,42,49,86,69,349,132,52,319,81,80,52,110
GTF3C3,2099,2294,2412,2411,2504,2230,2071,2621,1661,1851,2487,2232
SATB2,43,97,114,240,534,256,60,272,233,281,374,508
TRPM6,24,25,69,33,17,90,20,25,42,22,89,47
ECRG4,1,1,0,1,3,1,0,1,1,1,1,1
CPSF3,1497,1943,2112,2002,2769,2031,1605,2396,1779,2000,2294,3100
PIGZ,1347,1673,1561,1681,615,1131,1312,885,858,890,1019,595
SENP5,3686,4661,5488,5600,4994,5713,4009,5529,4382,4769,5593,4749
HEATR1,1343.59,1703,2159.66,2431.87,2952.92,2452.94,1685,2946.74,1939.77,2008.91,2920.82,2819.84
RAD23B,9746.99,11940,12408,13066.99,12963,14699,10161,13666,11273,12215,11042,10331
CTNNAL1,130,212,239,468,1576,320,265,1635,501,502,1483,2865
ABITRAM,639,803,831,757,1029,821,699,1036,657,709,1002,891
RAB14,9070,11109,11249,10055,10526,12213,8384,12668,8596,9723,11084,9453
PHF19,190,233,331,636,1059,580,400,605,484,485,825,895
BSPRY,1,6,6,4,0,2,5,0,10,0,4,5
NDUFA8,1755,2276,2649,2667,2359,2332,1765,2528,1908,2186,1975,2096
RBM18,2472,3184,3550,3460,3031,3793,2564,3373,2726,3043,3572,2997
SLC46A2,1,1,1,1,0,1,1,0,0,0,0,0
HSDL2,1217,1487,1597,1650,2840,1645,1190,4147,1464,1455,1988,2801
MAPKAP1,3241,4006,4823,5038,5487,4565,3591,6051,3783.99,3885,5757,5531
NR4A3,145,251,211,213,2104,277,149,1530,120,267,420,1916
INVS,639,753,901,934,1225,922,768,1252,709,816,1071,1007
GALNT12,40,44,37,70,540,59,35,452,63,67,94,222
ALG2,761,914,948,1118,1472,1069,909,1786,946,965,1720,1753
KDSR,1714,2014,2419,2175,2354,2328,1819,2694.92,1676,1818,3163,2458
VPS4B,3271,3819,3483,3503,3349,3162,3218,4166,2802,3009,4379.85,3578
ONECUT2,10156,18185,10377,12977,15444,13591,13701,15421,9999,14472,6998,6030
ZBTB45,1120,1518,1507,1435,1205,1522,1092,1171,987,1194,1050,751
YLPM1,7360,9995,9928,9699,11072,11791,8324,11477,8287,9180,10844,10998
DCAF4,891,1042,1264,1384,809,1041,955,1060,822,850,837,558
VSX2,25,241,102,31,240,51,128,25,42,194,70,56
FCF1,1920,2093,1881,2189,2090,1679,1870,2251,1551,1814,2700,2429.99
PGF,185,219,363,472,735,286,269,376,351,305,401,626
IFI27L2,719,843,953,982,725,677,615,762,517,578,736,525
BBOF1,455,563,518,576,739,655,530,780,461,481,454,462
ACYP1,489,615,636,488,461,619,425,558,451,496,463,351
DNAL1,1633,1975,1947,1923,2269,1823,1751.61,2855,1480,1701,2020,1573
IRF2BPL,3959,4852,7914,5673,10577,8011,3990,11204,5318,5756,6820,8703
LTBP2,71,328,541,2063,2676,452,326,6476,1389,1871,2967,2216
TTLL5,1325,1600,1973,2247,2296,2517,1487,2574,1938,2080,1566,2029.99
FLVCR2,12,5,30,43,141,30,15,241,42,52,137,323.01
ABCD4,904.64,1114.25,1268.35,1376.93,2300.06,1759.14,966.39,2137.96,1017.8,1149.59,1859.66,1855.32
DLST,5182.94,6334.96,6995.75,7039.98,5520.97,6018.88,5031,6610.98,4361.99,4825.98,6830.99,5620.98
PPP4R4,279,414,654,537,724,757,327,878,525,473,356,957
RBM25,5643,7478,7611,7187,11296,11173,6147,11413,7396,8562,9148,10472
ALDH6A1,965,1132,1081,1070,1881,919,1104,1998.09,816,969,1001,1157
GPR68,116,137,312,183,65,367,123,99,139,161,264,150
ESRRB,420,713,624,712,442,1053,517,247,639,1111,231,172
EIF2B2,1787,2141,2569,2352,2203,2613,1841,2102,1665,1947,1704,1593
NRDE2,1248,1630,1810.28,1692,1652.37,1767,1303,1807,1358,1441,1506,1350
COQ6,608,780,912,842,860,855,598,913,598,732,866,745
RHOQ,10834.22,12137.14,11257.72,13883.86,8907.48,11146.45,11366.77,11819.65,8490.66,8587.41,13129.01,8943.91
GPR75,36,57,42,36,79,50,24,61,44,49,75,79
SUPT7L,4172,4788,4912,4750,4695,4720,4342,5223,3383,3946,5155,4230
KLHL29,3397.93,3947.21,5447.72,4668.48,4392,7110.54,3971,4470.58,3971.24,4075,3845,4305
TMEM214,1173,1639,1933,2481,2920,2136,1435,3204,1825,2057,2207,2269
ATAD2B,2742,2953,2297,2262,2376,2154,2778,3018,1961,1898,2357,2165
FKBP1B,10929.98,11511.96,10270.27,9051.24,3554.09,6187.34,8380.35,7438.29,4543.2,4675,7253,3316
ATL2,2442,2850,3118,2568.2,4093,2912,2157,5555,2170,2511,3155,3999
YPEL5,5811,6788,7266,6735,6523,7473,6145,7571,4958,5569,6962,6124
YIPF4,3822.13,4456,4398,4279.14,4823,4085,4048.13,5709,3339,3682,6866,5529
LGALSL,3577,4044,3787,4123,3113,3314,3507,3713,2500,2624,2987,2178
BCL11A,644,1333,1294,1427,1484,1220,1062,1142,1318,1107,2561,3371
CRIPT,1583,1945,1923,1722,1652,1952,1641,2379,1474,1647,1986,1658
SLC17A5,1905,2398,2853,2966,1958,2865,1840,2333,1959,2074,2213,1438
OGFRL1,4945,6096,4573,5209,3056,4047,5512,4139,3829,3889,13871,8464
SLF2,1962,2268,3002,2340,3246,3699,1944,3152,2293,2506,3633,3592
TECTB,0,0,1,1,0,0,0,0,1,0,6,4
ELOVL3,21,19,15,26,19,22,22,26,14,18,20,14
GPAM,2305,2565,2618,2776,2104,2503,2251,2215,2097,2081,2737,2398
CUTC,357,448,616.02,590,532.05,648,419,474,370,421,461.03,444.01
PPP1R3C,57,68,105,164,254,146,111,231,83,83,303,484
PYROXD2,16,31,24,50,189,26,29,196,40,19,145,171
MXI1,3251,4109,4864,3408,3721,4746,3153,3862,3328,3625,2810,3180
C10orf88,1147,1336,1406,1341,1026,1306,971,1262.9,1067,1044,1192,982
HELLS,219,309,350,376,1249,471,329,627,519,501.26,1295.48,2230
PRLHR,37,144,274,1040,806,553,125,172,951,1119,175,148
DENND10,1808.77,2195.46,2492.17,2325.7,2338.34,2459.03,1899.31,2321.25,1807.18,2075.19,2757.29,2538.07
AVPI1,128,154,216,209,120,237,124,176,135,147,157,171
